participantID,sessionID,round_number,guess,correct
byaph3p6,qbhr32zd,1,Schokolade,True
byaph3p6,qbhr32zd,1,Vanille,True
byaph3p6,qbhr32zd,1,Zitrone,True
byaph3p6,qbhr32zd,1,marzipan,False
byaph3p6,qbhr32zd,1,kaffe,False
byaph3p6,qbhr32zd,1,pistazie,False
byaph3p6,qbhr32zd,1,himbeere,False
byaph3p6,qbhr32zd,1,pillen,False
byaph3p6,qbhr32zd,1,Schlaftabletten,True
byaph3p6,qbhr32zd,1,sport,False
byaph3p6,qbhr32zd,1,vorlesung,False
byaph3p6,qbhr32zd,1,buch,False
byaph3p6,qbhr32zd,1,Fernsehen,True
byaph3p6,qbhr32zd,1,Langeweile,True
eoox7ipv,13fs74p4,1,Stracciatella,True
eoox7ipv,13fs74p4,1,eerberer,False
eoox7ipv,13fs74p4,1,erbererer,False
eoox7ipv,13fs74p4,1,Erdbeer,True
eoox7ipv,13fs74p4,1,regen,False
eoox7ipv,13fs74p4,1,sonne,False
eoox7ipv,13fs74p4,1,Langeweile,True
eoox7ipv,13fs74p4,1,Schlaftabletten,True
eoox7ipv,13fs74p4,1,vorlesung,False
eoox7ipv,13fs74p4,1,Fernsehen,True
eoox7ipv,13fs74p4,1,buch,False
eoox7ipv,13fs74p4,1,zeitung,False
eoox7ipv,13fs74p4,2,giraffe,False
eoox7ipv,13fs74p4,2,spinne,False
eoox7ipv,13fs74p4,2,schlange,False
eoox7ipv,13fs74p4,2,Chamäleon,True
eoox7ipv,13fs74p4,2,katze,False
wpuqwpua,70l60rvh,1,Erdbeer,True
wpuqwpua,70l60rvh,1,Stracciatella,True
wpuqwpua,70l60rvh,1,asdas,False
wpuqwpua,70l60rvh,1,Schlaftabletten,True
wpuqwpua,70l60rvh,1,Langeweile,True
wpuqwpua,70l60rvh,1,dont't chrash hey,False
wpuqwpua,70l60rvh,1,katze,False
wpuqwpua,70l60rvh,2,pavian,False
wpuqwpua,70l60rvh,2,Papagei,True
wpuqwpua,70l60rvh,2,schlange,False
wpuqwpua,70l60rvh,2,Chamäleon,True
wpuqwpua,70l60rvh,2,Chamäleon,True
wpuqwpua,70l60rvh,2,Chamäleon,True
9z0h3em7,zeddj93e,1,ds,False
9z0h3em7,zeddj93e,1,sdfsdf,False
9z0h3em7,zeddj93e,1,sdf,False
9z0h3em7,zeddj93e,1,sdf,False
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,fs,False
9z0h3em7,zeddj93e,1,df,False
9z0h3em7,zeddj93e,1,sf,False
9z0h3em7,zeddj93e,1,s,False
9z0h3em7,zeddj93e,1,df,False
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,fs,False
9z0h3em7,zeddj93e,1,df,False
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,f,False
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,fs,False
9z0h3em7,zeddj93e,1,df,False
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,fs,False
9z0h3em7,zeddj93e,1,df,False
9z0h3em7,zeddj93e,1,sdf,False
